"","iso2c","country","year","População","PIB"
"1","BD","Bangladesh",1960,48013505,4274893913.49536
"2","BD","Bangladesh",1961,49362834,4817580183.60155
"3","BD","Bangladesh",1962,50752150,5081413339.78635
"4","BD","Bangladesh",1963,52202008,5319458351.16235
"5","BD","Bangladesh",1964,53741721,5386054619.34987
"6","BD","Bangladesh",1965,55385114,5906636557.00092
"7","BD","Bangladesh",1966,57157651,6439687598.32325
"8","BD","Bangladesh",1967,59034250,7253575399.3215
"9","BD","Bangladesh",1968,60918452,7483685473.51275
"10","BD","Bangladesh",1969,62679765,8471006100.95399
"11","BD","Bangladesh",1970,64232486,8992721809.39332
"12","BD","Bangladesh",1971,65531635,8751842839.79658
"13","BD","Bangladesh",1972,66625706,6288245866.66667
"14","BD","Bangladesh",1973,67637541,8086725729.3407
"15","BD","Bangladesh",1974,68742222,12512460519.7088
"16","BD","Bangladesh",1975,70066310,19448348073.4565
"17","BD","Bangladesh",1976,71652386,10117113333.3333
"18","BD","Bangladesh",1977,73463593,9651149301.8746
"19","BD","Bangladesh",1978,75450033,13281767142.8571
"20","BD","Bangladesh",1979,77529040,15565480321.9448
"21","BD","Bangladesh",1980,79639498,18138049095.6072
"22","BD","Bangladesh",1981,81767516,20249694002.448
"23","BD","Bangladesh",1982,83932132,18525399201.5968
"24","BD","Bangladesh",1983,86142490,17609048821.5488
"25","BD","Bangladesh",1984,88416529,18920840000
"26","BD","Bangladesh",1985,90764180,22278423076.9231
"27","BD","Bangladesh",1986,93187593,21774033333.3333
"28","BD","Bangladesh",1987,95671159,24298032258.0645
"29","BD","Bangladesh",1988,98186350,26579005760.2634
"30","BD","Bangladesh",1989,100695496,28781714763.8909
"31","BD","Bangladesh",1990,103171957,31598341233.463
"32","BD","Bangladesh",1991,105599125,30957483949.5798
"33","BD","Bangladesh",1992,107983708,31708874594.1645
"34","BD","Bangladesh",1993,110350641,33166519417.9894
"35","BD","Bangladesh",1994,112737684,33768660882.793
"36","BD","Bangladesh",1995,115169933,37939748768.6567
"37","BD","Bangladesh",1996,117649927,46438484107.5795
"38","BD","Bangladesh",1997,120160571,48244309133.4895
"39","BD","Bangladesh",1998,122682818,49984559471.3656
"40","BD","Bangladesh",1999,125189655,51270569883.5275
"41","BD","Bangladesh",2000,127657862,53369787318.6245
"42","BD","Bangladesh",2001,130088709,53991289844.3291
"43","BD","Bangladesh",2002,132478077,54724081490.5102
"44","BD","Bangladesh",2003,134791598,60158929188.2556
"45","BD","Bangladesh",2004,136986429,65108544250.0425
"46","BD","Bangladesh",2005,139035505,69442943089.4309
"47","BD","Bangladesh",2006,140921154,71819083683.7403
"48","BD","Bangladesh",2007,142660381,79611888213.148
"49","BD","Bangladesh",2008,144304164,91631278239.3237
"50","BD","Bangladesh",2009,145924795,102477791472.39
"51","BD","Bangladesh",2010,147575433,115279077465.226
"52","BD","Bangladesh",2011,149273134,128637938711.386
"53","BD","Bangladesh",2012,151005733,133355749482.478
"54","BD","Bangladesh",2013,152761413,149990451022.29
"55","BD","Bangladesh",2014,154517385,172885454931.453
"56","BD","Bangladesh",2015,156256287,195078678697.23
"57","BD","Bangladesh",2016,157977151,265236247989.155
"58","BD","Bangladesh",2017,159685421,293754646182.389
"59","BD","Bangladesh",2018,161376713,321379023557.462
"60","BD","Bangladesh",2019,163046173,351238438542.792
"61","BD","Bangladesh",2020,164689383,373902134700.41
"62","BD","Bangladesh",2021,166303494,416264942893.326
"63","BR","Brazil",1960,72179235,17030465539.3906
"64","BR","Brazil",1961,74311338,17275940449.3837
"65","BR","Brazil",1962,76514329,19231747851.5332
"66","BR","Brazil",1963,78772647,23287712878.2002
"67","BR","Brazil",1964,81064572,20963733694.9749
"68","BR","Brazil",1965,83373533,22465522884.0988
"69","BR","Brazil",1966,85696502,28283323733.1114
"70","BR","Brazil",1967,88035815,31086389194.961
"71","BR","Brazil",1968,90387079,33930457425.2613
"72","BR","Brazil",1969,92746607,37171640818.5863
"73","BR","Brazil",1970,95113265,42327664793.6934
"74","BR","Brazil",1971,97482928,48869830901.7878
